"year","1 EAST 2 STREET","100 BLEECKER STREET","106 EAST 14 STREET","120 EAST 12 STREET","125 3 AVENUE","126 EAST 14 STREET","21 UNION SQUARE","25 COOPER SQUARE","31 3 AVENUE","318 3 AVENUE","35 COOPER SQUARE","35 WASHINGTON SQUARE W","38 EAST 7 STREET","400 BROOME STREET","5 UNIVERSITY PLACE","636 GREENWICH STREET","67 3 AVENUE","76 LAFAYETTE STREET","787 BROADWAY"
2010,61,41,41,61,61,23,47,64,53,12,34,20,44,99,47,5,66,6,21
2011,66,30,45,67,106,10,75,12,34,37,6,19,32,117,15,0,37,7,37
2012,62,50,79,75,85,18,107,26,49,27,8,15,86,70,26,1,52,26,15
2013,75,17,86,53,58,26,123,20,69,36,6,14,100,77,36,9,61,14,22
2014,71,82,102,51,82,39,147,28,102,26,2,46,93,116,40,6,107,56,18
2015,96,66,62,65,155,39,82,41,98,35,3,52,68,85,112,58,144,35,17
2016,103,149,96,83,122,36,57,36,103,40,13,37,85,116,139,66,85,13,26
2017,174,187,54,88,145,23,90,44,77,25,3,38,67,120,116,56,83,10,26
2018,192,144,99,109,111,26,109,42,75,25,2,46,108,131,65,33,111,20,29
2019,165,115,82,70,82,73,136,16,137,46,29,54,88,133,72,13,119,22,70
2020,93,87,75,112,64,60,94,22,153,39,5,64,31,147,154,11,145,25,78
2021,97,67,84,45,81,44,198,31,174,68,19,106,69,118,311,17,126,17,51
2022,65,48,70,74,77,31,142,47,114,55,5,102,45,157,180,18,84,19,67
2023,71,56,135,64,81,33,115,43,135,97,11,58,82,189,163,22,84,27,48
2024,66,49,151,80,44,47,137,60,156,37,13,58,97,140,267,45,71,62,33
